track_href,name,artist,analysis_url,energy,liveness,tempo,speechiness,uri,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,type,id,mode
https://api.spotify.com/v1/tracks/0Nj06bmr9Ec26i4bZiQQ9E,$,Ty Dolla $ign,https://api.spotify.com/v1/audio-analysis/0Nj06bmr9Ec26i4bZiQQ9E,0.714,0.103,133.033,0.0501,spotify:track:0Nj06bmr9Ec26i4bZiQQ9E,0.00454,8.97e-06,4,0.87,2,193045,-4.589,0.317,audio_features,0Nj06bmr9Ec26i4bZiQQ9E,1
https://api.spotify.com/v1/tracks/4QglwXpVgc088RhQOp42vx,Seasons,Chris Cornell,https://api.spotify.com/v1/audio-analysis/4QglwXpVgc088RhQOp42vx,0.384,0.124,152.184,0.0304,spotify:track:4QglwXpVgc088RhQOp42vx,0.181,0.105,4,0.48,10,345133,-12.705,0.194,audio_features,4QglwXpVgc088RhQOp42vx,1
https://api.spotify.com/v1/tracks/2aksifNn5ph8igDOkPBA02,Love On The Brain,Rihanna,https://api.spotify.com/v1/audio-analysis/2aksifNn5ph8igDOkPBA02,0.637,0.0789,172.006,0.0471,spotify:track:2aksifNn5ph8igDOkPBA02,0.0717,1.08e-05,3,0.509,4,224000,-4.83,0.378,audio_features,2aksifNn5ph8igDOkPBA02,0
https://api.spotify.com/v1/tracks/4HmbONrGXlqTBCQK7goE0Z,Knuckle Sandwich,Badklaat,https://api.spotify.com/v1/audio-analysis/4HmbONrGXlqTBCQK7goE0Z,0.982,0.359,75.042,0.278,spotify:track:4HmbONrGXlqTBCQK7goE0Z,0.0337,0.0114,4,0.772,5,230400,-1.198,0.193,audio_features,4HmbONrGXlqTBCQK7goE0Z,0
https://api.spotify.com/v1/tracks/0W7tfWpG5HeHNRECFdsyKy,Half The World Away - Remastered,Oasis,https://api.spotify.com/v1/audio-analysis/0W7tfWpG5HeHNRECFdsyKy,0.436,0.0882,115.199,0.0327,spotify:track:0W7tfWpG5HeHNRECFdsyKy,0.29,0,4,0.432,0,265330,-9.719,0.216,audio_features,0W7tfWpG5HeHNRECFdsyKy,1
https://api.spotify.com/v1/tracks/1BxkZE73h9BN3qwuA15TA3,Drip Too Hard,Lil Baby,https://api.spotify.com/v1/audio-analysis/1BxkZE73h9BN3qwuA15TA3,0.653,0.528,112.503,0.289,spotify:track:1BxkZE73h9BN3qwuA15TA3,0.0945,0,4,0.9,1,145603,-6.962,0.399,audio_features,1BxkZE73h9BN3qwuA15TA3,0
https://api.spotify.com/v1/tracks/6ib3xB0koJD1gP8MUKxzXw,Area 51 (feat. F3tch),PhaseOne,https://api.spotify.com/v1/audio-analysis/6ib3xB0koJD1gP8MUKxzXw,0.934,0.37,77.506,0.185,spotify:track:6ib3xB0koJD1gP8MUKxzXw,0.0034,0.00894,4,0.634,0,223742,-3.572,0.529,audio_features,6ib3xB0koJD1gP8MUKxzXw,1
https://api.spotify.com/v1/tracks/7oC76J6mqFYtL4NH86nCMd,I'll Be Your Domino - Non-Album Track,Red Hot Chili Peppers,https://api.spotify.com/v1/audio-analysis/7oC76J6mqFYtL4NH86nCMd,0.987,0.0549,108.021,0.0343,spotify:track:7oC76J6mqFYtL4NH86nCMd,0.0158,2.51e-06,4,0.727,0,234733,-2.742,0.773,audio_features,7oC76J6mqFYtL4NH86nCMd,1
https://api.spotify.com/v1/tracks/6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,https://api.spotify.com/v1/audio-analysis/6SpLc7EXZIPpy0sVko0aoU,0.906,0.113,172.977,0.0735,spotify:track:6SpLc7EXZIPpy0sVko0aoU,0.00272,9.26e-06,4,0.517,1,211520,-3.677,0.731,audio_features,6SpLc7EXZIPpy0sVko0aoU,1
https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,https://api.spotify.com/v1/audio-analysis/75JFxkI2RXiU7L9VXzMkle,0.442,0.11,146.448,0.0243,spotify:track:75JFxkI2RXiU7L9VXzMkle,0.727,1.71e-05,4,0.56,5,309600,-7.224,0.212,audio_features,75JFxkI2RXiU7L9VXzMkle,1
